CX Calls Call Started Date,CX Calls Call Started Hour of Day,calls,emails,chats,sms,orders
1/26/2016,9,561,1885,233,0,409
1/26/2016,18,725,2201,173,0,1229
1/26/2016,12,1597,3205,277,0,901
1/26/2016,8,81,637,0,0,113
1/26/2016,14,1277,6377,381,0,1157
1/26/2016,13,1453,3645,281,0,1161
1/26/2016,1,0,205,0,0,137
1/26/2016,23,0,765,0,0,345
1/26/2016,19,0,1497,173,0,937
1/26/2016,20,0,1213,201,0,733
1/26/2016,21,0,1525,1,0,605
1/26/2016,5,0,57,0,0,9
1/26/2016,2,0,61,0,0,49
1/26/2016,4,0,69,0,0,9
1/26/2016,22,0,1021,0,0,477
1/26/2016,3,0,81,0,0,25
1/27/2016,21,0,1377,5,0,613
1/27/2016,19,0,1617,161,0,925
1/27/2016,16,0,2665,297,0,1213
1/27/2016,22,0,873,0,0,445
1/27/2016,17,0,2357,229,0,1197
1/27/2016,5,0,117,0,0,9
1/27/2016,15,0,3129,233,0,1253
1/27/2016,7,0,313,0,0,49
1/27/2016,0,0,429,0,0,149
1/27/2016,2,0,69,0,0,101
1/27/2016,13,0,2849,257,0,921
1/27/2016,3,0,117,0,0,49
1/27/2016,12,0,2989,221,0,1065
1/27/2016,10,0,1993,217,0,613
1/27/2016,23,0,849,0,0,285
1/27/2016,8,0,1257,0,0,141
1/27/2016,14,0,2485,221,0,1157
1/27/2016,18,0,1833,193,0,1109
1/27/2016,1,0,241,0,0,105
1/27/2016,20,0,1245,169,0,717
1/27/2016,9,0,1645,185,0,397
1/27/2016,11,0,2453,293,0,965
1/27/2016,4,0,81,0,0,5
1/27/2016,6,0,221,0,0,17
1/28/2016,20,269,969,145,0,661
1/28/2016,21,97,1341,1,0,665
1/28/2016,23,13,425,0,0,257
1/28/2016,19,349,1389,177,0,893
1/28/2016,22,21,601,1,0,341
1/28/2016,14,0,2905,249,0,1193
1/28/2016,5,0,33,0,0,21
1/28/2016,8,0,553,0,0,201
1/28/2016,10,0,2341,265,0,525
1/28/2016,4,0,85,0,0,17
1/28/2016,11,0,2841,361,0,825
1/28/2016,9,0,2337,161,0,389
1/28/2016,17,0,2701,177,0,1141
1/28/2016,1,0,281,0,0,129
1/28/2016,2,0,177,0,0,57
1/28/2016,7,0,393,0,0,29
1/28/2016,0,0,581,0,0,189
1/28/2016,15,0,2761,241,0,1185
1/28/2016,13,0,2629,181,0,1081
1/28/2016,18,0,2013,149,0,1329
1/28/2016,12,0,2461,249,0,993
1/28/2016,16,0,2613,209,0,1213
1/28/2016,3,0,137,0,0,33
1/28/2016,6,0,81,0,0,29
1/29/2016,10,789,1549,169,0,621
1/29/2016,6,1,129,0,0,17
1/29/2016,8,49,565,0,0,125
1/29/2016,9,529,2469,145,0,393
1/29/2016,12,1421,2381,197,0,1097
1/29/2016,23,41,417,0,0,173
1/29/2016,18,845,1861,173,0,1145
1/29/2016,13,1165,1201,293,0,469
1/29/2016,4,1,81,0,0,17
1/29/2016,0,1,265,0,0,145
1/29/2016,14,1513,3213,361,0,1253
1/29/2016,2,1,65,0,0,69
1/29/2016,22,25,445,0,0,277
1/29/2016,16,1213,2853,221,0,1369
1/29/2016,21,73,2221,1,0,477
1/29/2016,17,913,2433,145,0,1413
1/29/2016,15,1333,3301,253,0,1549
1/29/2016,20,265,749,93,0,529
1/29/2016,7,5,237,0,0,41
1/29/2016,11,1409,2129,273,0,1025
